;
;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;Seg. Odontológica;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;Procedimento de Alta Complexidade;Diretriz de Utilização;SUBGRUPO;GRUPO;CAPÍTULO;
ACONSELHAMENTO GENÉTICO;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
ATENDIMENTO/ACOMPANHAMENTO EM HOSPITAL-DIA PSIQUIÁTRICO (COM DIRETRIZ DE UTILIZAÇÃO);;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;109;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
ATENDIMENTO INTEGRAL AO RECÉM-NASCIDO (SALA DE PARTO, BERÇÁRIO E UTI);;;;;Seg. Hospitalar Com Obstetrícia;;Plano Referência;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
ATENDIMENTO MÉDICO DO INTENSIVISTA EM UTI GERAL OU PEDIÁTRICA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
ATENDIMENTO PEDIÁTRICO A GESTANTES (3o TRIMESTRE);;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;;Plano Referência;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
ATIVIDADE EDUCACIONAL PARA PLANEJAMENTO FAMILIAR;;;;Seg. Ambulatoria;;;Plano Referência;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
ATIVIDADE EDUCATIVA EM SAÚDE BUCAL;;;Seg. Odontológica;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
ATIVIDADE EDUCATIVA EM Seg. OdontológicaONTOLOGIA PARA PAIS E/OU CUIDADORES DE Procedimento de Alta ComplexidadeIENTES COM NECESSIDADES ESPECIAIS;;;Seg. Odontológica;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
CONDICIONAMENTO EM Seg. OdontológicaONTOLOGIA (COM DIRETRIZ DE UTILIZAÇÃO);;;Seg. Odontológica;;;;;;86;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
